iter	Accuracy	Logloss
515	0.9616414885	0.09181259322
516	0.9616414885	0.09181257456
517	0.9616535547	0.09178582732
518	0.9617018196	0.09173087062
519	0.9616414885	0.09171066668
520	0.9616656209	0.09169825118
521	0.9616897534	0.0916872647
522	0.9617138858	0.09167794392
523	0.9617380182	0.09165760504
524	0.961725952	0.09163970684
525	0.9617500845	0.09161436553
526	0.9617621507	0.09159369173
527	0.9617621507	0.09158705476
528	0.9617862831	0.09158223456
529	0.9617983493	0.09156047456
530	0.9617742169	0.09155294761
531	0.9618466142	0.09152234381
532	0.9618466142	0.09148270529
533	0.9618466142	0.0914826893
534	0.961834548	0.09147728979
535	0.9618828129	0.09145253183
536	0.9618948791	0.09144756353
537	0.9618828129	0.09142333707
538	0.9619069453	0.09140397513
539	0.9618586804	0.09139120983
540	0.9618948791	0.09136927454
541	0.9618828129	0.09135381345
542	0.9618707467	0.09134342128
543	0.9618586804	0.09132685638
544	0.9618707467	0.09131412332
545	0.9618586804	0.09131075435
546	0.9618948791	0.0912766359
547	0.9618707467	0.09123846446
548	0.9619190115	0.09121864353
549	0.9619190115	0.09121817979
550	0.9619190115	0.09121787755
551	0.9619069453	0.0912175813
552	0.9619069453	0.09121754429
553	0.961943144	0.09121302695
554	0.9619310778	0.09120296822
555	0.9619310778	0.09118788752
556	0.9619310778	0.09117143509
557	0.9619552102	0.09116913059
558	0.9619914089	0.09112467714
559	0.9620758724	0.09108925329
560	0.9620638062	0.09108729107
561	0.9620758724	0.09106145821
562	0.9620638062	0.09102363803
563	0.962112071	0.09097836983
564	0.9620879386	0.09095908164
565	0.9620758724	0.09092880682
566	0.9620638062	0.09091627899
567	0.9620638062	0.0909123384
568	0.9620879386	0.09090688449
569	0.9620879386	0.09090372184
570	0.9620396737	0.09087486801
571	0.962112071	0.09083654938
572	0.9621362035	0.09081110485
573	0.9621241373	0.09073971942
574	0.9621603359	0.09071010568
575	0.962112071	0.09068803406
576	0.9621844684	0.09065371548
577	0.9621724021	0.09063593696
578	0.9621362035	0.09062388763
579	0.9620758724	0.09061052456
580	0.9620758724	0.09059682815
581	0.962112071	0.0905726173
582	0.9621241373	0.0905564956
583	0.9620879386	0.09054743975
584	0.9620879386	0.09054734467
585	0.9621241373	0.09054190047
586	0.9621241373	0.09053745629
587	0.962112071	0.09053323199
588	0.9621482697	0.09050541652
589	0.9622086008	0.09047315176
590	0.9621844684	0.0904535066
591	0.9621724021	0.09044281293
592	0.9621844684	0.09041619478
593	0.9621482697	0.09037988446
594	0.9621362035	0.09036100346
595	0.9621241373	0.090341367
596	0.9620517399	0.09030319169
597	0.9620155413	0.09027406874
598	0.9620879386	0.09024673532
599	0.9621241373	0.09023372229
600	0.9621362035	0.09022141096
601	0.9621241373	0.09019840838
602	0.9621241373	0.09018708103
603	0.9621241373	0.09017374381
604	0.962112071	0.09015197185
605	0.9621000048	0.09012767565
606	0.9622086008	0.09009593172
607	0.962220667	0.09006313719
608	0.9622568657	0.09001507767
609	0.9622689319	0.08997087923
610	0.9623051306	0.08987267257
611	0.962220667	0.08985068447
612	0.9622809981	0.08983629494
613	0.9622809981	0.0897939185
614	0.9622447995	0.0897706516
615	0.9622689319	0.08975290243
616	0.9622447995	0.08974152225
617	0.9623413292	0.08971071297
618	0.9623051306	0.08969378641
619	0.9623051306	0.08967825834
620	0.9622689319	0.08967193987
621	0.9622689319	0.08966707587
622	0.962329263	0.08964033724
623	0.9624137265	0.08958015909
624	0.9623654617	0.08956652011
625	0.9623895941	0.08953354764
626	0.9623171968	0.08951894274
627	0.9623413292	0.08950183332
628	0.9623533954	0.08949176893
629	0.9623533954	0.08943828572
630	0.9624257928	0.08942270025
631	0.962437859	0.08941618551
632	0.9624619914	0.08940885807
